row_type,force_noise,n_load_cases,parameter,relative_error_percent,mean_abs_relative_error_percent,max_abs_relative_error_percent,condition_number,residual_norm
parameter,0.01,4,matrix_base,61.359697009375594,,,17680.500700151133,0.010963857837357312
parameter,0.01,4,matrix_density_gain,-99.99999999999955,,,17680.500700151133,0.010963857837357312
parameter,0.01,4,fiber_scale,-99.99999999999837,,,17680.500700151133,0.010963857837357312
parameter,0.01,4,connectivity_scale,216.21324109582554,,,17680.500700151133,0.010963857837357312
summary,0.01,6,,,77.37084912174996,100.0,12667.067191503274,0.009400774243597466
parameter,0.01,6,matrix_base,61.638934918601166,,,12667.067191503274,0.009400774243597466
parameter,0.01,6,matrix_density_gain,-100.0,,,12667.067191503274,0.009400774243597466
parameter,0.01,6,fiber_scale,47.8444615685947,,,12667.067191503274,0.009400774243597466
parameter,0.01,6,connectivity_scale,-99.99999999980396,,,12667.067191503274,0.009400774243597466
summary,0.02,2,,,121.74757448931558,205.24338374746395,1351869.2008334342,0.010917193333839403
parameter,0.02,2,matrix_base,81.74691420997904,,,1351869.2008334342,0.010917193333839403
parameter,0.02,2,matrix_density_gain,-99.99999999990217,,,1351869.2008334342,0.010917193333839403
parameter,0.02,2,fiber_scale,-99.99999999991716,,,1351869.2008334342,0.010917193333839403
parameter,0.02,2,connectivity_scale,205.24338374746395,,,1351869.2008334342,0.010917193333839403
summary,0.02,3,,,121.68453937115521,224.31625853370747,16598.49171016474,0.015617839321488533
parameter,0.02,3,matrix_base,62.42189955452224,,,16598.49171016474,0.015617839321488533
parameter,0.02,3,matrix_density_gain,-99.99999959480208,,,16598.49171016474,0.015617839321488533
parameter,0.02,3,fiber_scale,-99.99999980158906,,,16598.49171016474,0.015617839321488533
parameter,0.02,3,connectivity_scale,224.31625853370747,,,16598.49171016474,0.015617839321488533
summary,0.02,4,,,120.92355508322315,220.3848131159944,17705.73230307755,0.01865691259724606
parameter,0.02,4,matrix_base,63.3094177395322,,,17705.73230307755,0.01865691259724606
parameter,0.02,4,matrix_density_gain,-99.9999908415647,,,17705.73230307755,0.01865691259724606
parameter,0.02,4,fiber_scale,-99.99999863580126,,,17705.73230307755,0.01865691259724606
parameter,0.02,4,connectivity_scale,220.3848131159944,,,17705.73230307755,0.01865691259724606
summary,0.02,6,,,120.85247305879648,220.42586027272023,12665.82707050147,0.015699884561383118
parameter,0.02,6,matrix_base,62.98403196253772,,,12665.82707050147,0.015699884561383118
parameter,0.02,6,matrix_density_gain,-100.0,,,12665.82707050147,0.015699884561383118
parameter,0.02,6,fiber_scale,-99.99999999992797,,,12665.82707050147,0.015699884561383118
parameter,0.02,6,connectivity_scale,220.42586027272023,,,12665.82707050147,0.015699884561383118
summary,0.04,2,,,101.1596908110209,166.8896592488036,951355.3085528353,0.015827695346618733
parameter,0.04,2,matrix_base,-99.99999999999994,,,951355.3085528353,0.015827695346618733
parameter,0.04,2,matrix_density_gain,166.8896592488036,,,951355.3085528353,0.015827695346618733
parameter,0.04,2,fiber_scale,37.749103995280265,,,951355.3085528353,0.015827695346618733
parameter,0.04,2,connectivity_scale,-99.9999999999997,,,951355.3085528353,0.015827695346618733
summary,0.04,3,,,98.1116489224352,149.56234381828872,16348.344001319309,0.014770164996473349
parameter,0.04,3,matrix_base,-99.99999999999997,,,16348.344001319309,0.014770164996473349
